CHEMICAL,LBS_2007,LBS_2008,LBS_2009,LBS_2010,LBS_2011,LBS_2012,LBS_2013,LBS_2014,LBS_2015,LBS_2016
1080,0.025,0.001,0.268,0.239,0.24,0.478,0.267,0.013,0.144,0.002
"2,4-DB ACID","9,185","11,416","13,523","4,570",55,5826,"10,807","10,547","9,104",19023
ABAMECTIN,"12,362","12,846","16,624","19,345","26,945","33,008","40,419","38,521","40,045",45140
AMITRAZ,0,0,7,0,0,0,1486,45,101,28
ARSENIC PENTOXIDE,7805,7433,400,16144,8034,9240,8480,16719,22190,10508
ARSENIC TRIOXIDE,0.046,0.01,0.001,0.001,0,0.001,0,0.001,0,0.001
ATRAZINE,"27,546",28491,23260,28937,22654,32173,23763,20896,17912,21282
BENOMYL,590,100,56,31,27,32,3,10,2,0.766
"BROMACIL, LITHIUM SALT","1,172","1,851",896,"1,835","1,486","1,422","1,145","2,472","2,891",2504
BROMOXYNIL OCTANOATE,"41,406","65,375","50,300","43,643","47,704","56,495","49,699","44,247","52,458",45145
CARBARYL,141971,126678,135264,113066,74690,113900,117252,131744,155525,220860
CARBON DISULFIDE,36,393,0,0,1,18,0,1,0,0.055
CHLORDECONE,0.01,0,0,0,0.002,0,0,0.003,0.003,0.003
CYANAZINE,0,0,0,0,0.544,0.063,0,1,3,0.032
CYCLOATE,31868,21242,25284,27292,30950,33562,30619,36566,39655,45150
CYCLOHEXIMIDE,0,0,0,0,0,0,0,0,0,0
DICHLOROPHEN,0,0,0,0,0,0,0.131,0,0,0
DICLOFOP-METHYL,157,0,15,0,7,0,0,0,0,0
DINOCAP,2,2,2,0,0,0,0,0,0,0
DINOSEB,81,166,816,26,75,60,22,374,7,581
DIOCTYL PHTHALATE,610,340,186,453,248,262,198,73,36,94
DISODIUM CYANODITHIOIMIDO CARBONATE,0,0,0,0,0,80,0.078,0,101,280
ENDRIN,0,0,0,0,0,0,0,0,0,0
EPTC,152707,129470,"128,993","118,509","125,570","168,665","187,349","235,271","237,983",255431
ETHYLENE DIBROMIDE,3,127,0,0,0,6,0,0,0,0
ETHYLENE GLYCOL MONOMETHYL ETHER,"2,653","1,986","2,257","5,187","4,326","3,782","6,202","5,601","7,601",7627
ETHYLENE OXIDE,2,3,7,0,0,8,0,0,0,0
FENOXAPROP-ETHYL,153,219,11,0.2,8,0,0,0,0,0
FLUAZIFOP-BUTYL,5,3,21,11,8,6,17,43,16,23
HEPTACHLOR,0,0,0,0,0,0,0,0,0,0
HYDRAMETHYLNON,887,825,393,609,1096,486,444,6024,399,301
LINURON,58592,60247,51265,48424,54339,57637,52529,54158,50395,52249
METAM-SODIUM,9930337,9497562,9028103,11153272,10837368,8428425,4846428,4297539,3606650,3297827
METHANOL,0,0,0,0,0,0,0,0,0,2
METHYL BROMIDE,"6,448,717","5,693,394","5,615,683","4,809,280","4,002,102","4,017,075","3,534,425","2,963,036","2,655,234",2602823
METIRAM,0,0,0,0,15,34,17,13,0.432,4
MOLINATE,75241,19653,12516,24,0.213,3,0.317,0.004,0.109,5
MYCLOBUTANIL,68403,61550,59056,65604,65272,64425,61080,65056,61036,58794
NABAM,9073,9635,8963,10518,13358,13485,22187,16535,9357,18414
NICOTINE,0.283,0,0,0,7,0,0,0,0,0
NITRAPYRIN,9,0,84,211,0,0.004,2,0,5,2
OXADIAZON,12517,9402,8741,12382,7781,7272,6759,4960,12139,5009
OXYDEMETON-METHYL,122723,111612,68576,71290,26013,17562,10656,8407,6610,3764
OXYTETRACYCLINE HYDROCHLORIDE,2433,80,147,"1,356",208,81,266,15,45,"7,223"
OXYTHIOQUINOX,166,170,45,6,0,1,0,1,0,1
POTASSIUM DIMETHYL DITHIO CARBAMATE,0,0,0,0,0,0,0,0,0,0
PROPARGITE,531832,"386,203","378,099","294,853","295,374","252,218","291,001","246,496",213205,"206,164"
PROPAZINE,0,0,0,0,0,665,4,1,0,0
RESMETHRIN,452,269,211,206,122,46,19,188,4,146
SIMAZINE,541296,438952,419423,378363,421905,368621,300394,242895,179321,163332
SODIUM DIMETHYL DITHIO CARBAMATE,9073,9800,"8,963","11,053",13358,13485,"22,187","16,535",9357,18414
STREPTOMYCIN SULFATE,5809,"4,394","3,233","4,040","4,646","4,054","4,797","5,161","4,737","15,254"
SULFUR DIOXIDE,162856,187804,127394,191393,228612,188459,247117,227965,247898,279789
TAU-FLUVALINATE,1028,1068,1179,869,833,1083,1082,1361,1220,1249
THIOPHANATE-METHYL,99497,74903,89882,115025,86988,109775,103618,112593,113192,128485
TRIADIMEFON,873,1503,1056,2153,1918,2427,1620,1986,1623,1232
TRIBUTYLTIN METHACRYLATE,0,0,0,0,0,0,0.936,0,0,0
TRICHLORO ETHYLENE,0,0,0,0,0.764,0,0.048,0,0,0
TRIFORINE,64,69,4,42,22,2,4,0.9,0.49,0.351
VINCLOZOLIN,392,512,476,217,328,470,151,219,149,125
WARFARIN,1,0.336,0.43,0.849,2,2,0.786,1,0.479,0.322
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,